batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
STL,2024-09-11,1,0,16,95.8,line_drive,0.5770982452179538,0.6,halfway,6.827098245217954,6.25,28.8,88.5,Paul Goldschmidt singles on a line drive to left fielder Spencer Steer. Masyn Winn to 3rd.
CIN,2024-08-25,7,-2,18,81.8,line_drive,0.573405830318138,0.6,halfway,7.001977258889567,6.428571428571429,28.0,89.9,Elly De La Cruz singles on a line drive to center fielder Michael A. Taylor. Noelvi Marte scores. Jonathan India to 3rd. Elly De La Cruz to 2nd.
CLE,2024-08-28,5,-2,50,65.0,high_fly,0.5721892196022198,4.54069546053398,tagged,6.932613247870771,6.360424028268551,28.3,,Steven Kwan singles on a pop up to shortstop Bobby Witt Jr. Jhonkensy Noel scores.
PHI,2024-05-08,3,-1,18,78.3,line_drive,0.5683865775718147,0.6,halfway,6.753953587881092,6.185567010309278,29.1,94.6,Johan Rojas singles on a line drive to center fielder Kevin Kiermaier. Bryson Stott to 3rd. Edmundo Sosa to 2nd.
COL,2024-06-08,3,1,25,69.8,fly_ball,0.5673061414577116,1.6140239858329473,halfway,7.4114126053360385,6.844106463878327,26.3,86.7,Ezequiel Tovar singles on a line drive to center fielder Dylan Carlson. Alan Trejo to 3rd. Charlie Blackmon to 2nd.
SF,2024-06-20,6,-2,16,99.6,line_drive,0.5668439050716421,0.6,halfway,7.258293719198036,6.691449814126394,26.9,86.9,Austin Slater singles on a line drive to center fielder Michael Siani. Jorge Soler to 3rd. Wilmer Flores to 2nd.
TEX,2024-07-22,10,0,18,109.2,line_drive,0.5650879621130986,0.6,halfway,7.679712468041952,7.1146245059288535,25.3,84.5,Wyatt Langford singles on a line drive to left fielder Andrew Benintendi. Travis Jankowski scores. Corey Seager to 3rd. Josh Smith to 2nd.
TOR,2024-07-27,6,2,14,95.3,line_drive,0.5559173529882022,0.4,hesitated,6.784291055410348,6.228373702422146,28.9,91.3,George Springer singles on a line drive to center fielder Leody Taveras. Steward Berroa to 3rd.
LAA,2024-09-04,1,0,15,96.5,line_drive,0.5543043501721927,0.6,halfway,7.270722260619953,6.716417910447761,26.8,82.4,Nolan Schanuel singles on a line drive to center fielder Tommy Edman. Taylor Ward to 3rd. Zach Neto to 2nd.
CHC,2024-06-21,1,-3,15,93.0,line_drive,0.5535115476600767,0.6,halfway,6.891539716674162,6.338028169014085,28.4,90.1,Cody Bellinger singles on a line drive to center fielder Harrison Bader. Nico Hoerner to 3rd. Seiya Suzuki to 2nd.
